GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
Rexo1,51.01482554,0.732054101,0.210345412,3.480247534,0.000500951,0.021418536,1.661002334
Cobll1,98.27300397,0.567443006,0.163089383,3.479337505,0.000502655,0.021420713,1.481894771
Adgrf5,361.2788465,-0.436038658,0.125366478,-3.478112042,0.000504959,0.021448332,0.739161409
Ankrd6,251.679162,-0.557078601,0.160303783,-3.475143187,0.000510581,0.021616253,0.67967709
Dnah8,110.3741366,0.63429643,0.1827302,3.471218382,0.000518102,0.021863249,1.552180602
Rnf220,478.9800127,-0.509771419,0.146972301,-3.468486354,0.000523399,0.02201505,0.702333707
Ankrd24,214.1531331,0.603520475,0.174250669,3.463518846,0.000533159,0.022353003,1.519419746
Pacsin1,883.1062267,-0.36345966,0.105093238,-3.458449527,0.000543294,0.022688075,0.77729834
Pigz,244.8927385,-0.623364748,0.180279098,-3.457776059,0.000544654,0.022688075,0.649155159
Trim44,1600.480716,-0.323060985,0.093469846,-3.456312384,0.00054762,0.022738528,0.799372039
Ube2r2,488.2927194,-0.379987049,0.110454819,-3.440203452,0.000581277,0.024058927,0.768444489
Mettl7a1,248.1947659,-0.618912785,0.180639173,-3.426237929,0.000612004,0.02516988,0.651161458
Vash1,396.8645357,-0.351513346,0.102569106,-3.42708794,0.000610091,0.02516988,0.783761523
Kif3b,712.6741623,-0.330732864,0.096655079,-3.421784628,0.000622116,0.025504776,0.795132468
Nedd4l,2366.063849,-0.432109311,0.126428073,-3.417827227,0.000631232,0.025796864,0.741177345
Ppp1r1a,194.9891775,-0.521856918,0.153046157,-3.409800853,0.000650103,0.026484555,0.696474811
Tmem176b,75.02394883,-0.796487953,0.233657348,-3.408786239,0.000652526,0.026499915,0.575749056
Cd9,1697.201884,-0.269625855,0.079271507,-3.401295919,0.000670672,0.02715173,0.829534648
Cacna1a,1305.37714,-0.392754757,0.115901994,-3.388679888,0.000702299,0.028343581,0.761673836
Itpr3,1047.994567,0.299299684,0.088468866,3.383107503,0.000716706,0.028769532,1.230546934
Mapk11,652.8703839,-0.304135938,0.089904396,-3.38288173,0.000717295,0.028769532,0.809927154
