GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Ten1,1161.051143,0.288438228,0.104115433,2.770369574,0.005599272,0.176859764,
Spata7,181.6994892,0.485931855,0.175481673,2.769131646,0.005620592,0.177193729,
Kcna1,268.2918902,-0.501853898,0.181476349,-2.765395597,0.00568538,0.178441251,
RP23-457H7.8,3709.947597,0.291112309,0.10525724,2.765722431,0.005679686,0.178441251,
Rpl36a-ps2,778.7409644,0.395823878,0.143156152,2.764979869,0.005692631,0.178441251,
Psenen,2145.712927,0.256504747,0.093044509,2.756796172,0.005837072,0.182621728,
Igsf8,112.0749423,0.479958615,0.174340456,2.75299621,0.005905258,0.184405102,
Josd2,2460.899213,0.259609132,0.094350295,2.751545513,0.005931478,0.184873732,
Cox6b1,10671.0637,0.2172474,0.079005637,2.749770864,0.005963695,0.185527179,
Impdh1,3100.405386,0.291012685,0.106033596,2.74453283,0.006059709,0.187657733,
Nop56,933.9256914,0.371538198,0.135330793,2.745407671,0.006043577,0.187657733,
RP24-540G23.3,13.60860229,0.415344362,0.15135493,2.744174654,0.006066325,0.187657733,
Ppp1r3e,401.5899472,-0.366522122,0.133662227,-2.742151847,0.006103812,0.188463761,
Cdk15,903.4866807,-0.345027379,0.125883336,-2.740850298,0.006128042,0.188858239,
Lin37,218.1458271,0.47400572,0.173066726,2.738861075,0.006165242,0.189297037,
Med25,2938.935325,0.307148638,0.112120917,2.739441006,0.006154376,0.189297037,
Mamld1,385.568058,-0.337893315,0.12346734,-2.736701995,0.006205848,0.190189639,
Dnajb11,54.3884923,-0.517758103,0.189376855,-2.734009403,0.006256826,0.190656612,
Fxyd3,1124.924203,0.344290261,0.125976409,2.732974093,0.006276527,0.190656612,
H2-Bl,55.95495192,0.517287349,0.189305549,2.732552496,0.006284566,0.190656612,
Mapk11,3030.18188,-0.214365298,0.078457615,-2.732243369,0.006290466,0.190656612,
Ncoa7,541.8487063,-0.482276629,0.176463367,-2.733012733,0.006275791,0.190656612,
S100a8,1329.640519,-0.465578789,0.170229423,-2.735007744,0.006237881,0.190656612,
Acat2,132.9720135,-0.49737873,0.182316358,-2.728108082,0.006369873,0.192356174,
Paip1,244.0462221,-0.469665874,0.172145166,-2.728312877,0.00636592,0.192356174,
Abcb8,701.6633194,0.391075819,0.143506208,2.725149143,0.006427245,0.193045783,
Palm2,66.64254587,-0.516101151,0.189350313,-2.725641927,0.006417658,0.193045783,
RP23-119P9.3,39.99657881,-0.489882492,0.179765551,-2.725118848,0.006427834,0.193045783,
Epb41l1,3627.410464,-0.22344761,0.082033867,-2.723845865,0.006452661,0.193101994,
Gtpbp2,90.89734195,-0.511011043,0.187608097,-2.723821903,0.006453129,0.193101994,
Mmp24,1704.749395,-0.241589123,0.088725678,-2.722877157,0.006471612,0.193304227,
Ccdc3,141.8035168,-0.481507941,0.176880484,-2.722221979,0.006484457,0.193337661,
Gng3,19364.66394,0.260348086,0.095706019,2.720289566,0.006522477,0.193421949,
Rnaseh2a,757.8267595,0.312800159,0.114948293,2.721224926,0.006504049,0.193421949,
RP23-407H16.1,298.6491792,0.409998574,0.150702025,2.720591004,0.006516533,0.193421949,
