,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
RP23-313J14.7,2.662349621,5.139114016,2.771171249,3.354269202,3.067946167,2.127957794,0,0
RP23-313J15.11,0,0,0.92372375,0,0,0,0,0
RP23-313J15.16,0,0,0,0,1.022648722,0,1.024079934,0
RP23-313J15.17,7.987048864,2.055645606,1.847447499,13.41707681,8.181189778,2.127957794,0,7.621067109
RP23-313J15.2,0,0,0,0,0,0,0,0
RP23-313J15.4,0,0,0,0,0,0,0,0
RP23-313K17.2,0,0,0,2.236179468,0,0,1.024079934,0
RP23-313K8.2,0,0,3.694894998,2.236179468,4.090594889,6.383873382,4.096319735,3.810533554
RP23-313O9.1,11.50507116,4.354989712,3.898564581,13.69009406,20.74637116,7.00662291,3.704671377,10.77936226
RP23-313P23.4,0,0,1.847447499,0,0,0,0,1.905266777
RP23-314A12.1,91.40733699,91.47622948,67.43183372,79.38437111,84.87984395,112.7817631,111.6247128,95.26333886
RP23-314A12.2,37.9441906,59.31940795,82.61119784,27.3237873,21.64555461,68.49491936,56.77640444,31.76434642
RP23-314A15.3,0,0,0,0,0,0,0,0
RP23-314A15.4,0,0,0,0,0,0,0,0
RP23-314A15.5,4.437249369,11.30605083,8.313513746,10.06280761,5.113243611,6.383873382,9.216719403,4.763166943
RP23-314A15.6,0,0,0,0,0,0,0,0
RP23-314A15.7,0,0,0,0,0,0,0,0
RP23-314A15.8,0.887449874,1.027822803,0,0,1.022648722,1.063978897,0,0
RP23-314B7.1,0.887449874,0,0.92372375,0,1.022648722,1.063978897,0,0
RP23-314B7.2,0,0,0,1.118089734,0,0,0,0.952633389
RP23-314C7.1,0,0,0,0,0,0,0,0
RP23-314D24.2,0,0,0,0,0,0,0,0
RP23-314E23.2,9.761948611,20.55645606,7.389789997,17.88943574,9.2038385,12.76774676,21.50567861,7.621067109
RP23-314E8.1,0,0,0,0,0,0,0,0
RP23-314H11.1,0,0,0,2.236179468,0,0,0,0
