GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Dffa,1504.339694,0.737236306,0.117341444,6.282829687,3.32E-10,1.34E-08,
Bglap3,20.76919064,3.100188049,0.493551104,6.281392188,3.36E-10,1.35E-08,
Abca7,3786.163728,0.65936449,0.105052042,6.276550927,3.46E-10,1.39E-08,
Enho,2389.895304,-0.993367616,0.158272492,-6.276312459,3.47E-10,1.39E-08,
Arhgap1,1102.384642,1.13783964,0.181361056,6.273891802,3.52E-10,1.41E-08,
Syne1,1422.222736,1.353446288,0.215827863,6.270952551,3.59E-10,1.44E-08,
Kcnh6,74.31194691,2.535649395,0.404694304,6.265592011,3.71E-10,1.48E-08,
Magi1,2344.3783,0.757023851,0.121022482,6.255233209,3.97E-10,1.58E-08,
Wac,813.4645889,1.153789345,0.184530787,6.25255744,4.04E-10,1.61E-08,
Phpt1,2469.920763,-0.824933292,0.132165581,-6.241665085,4.33E-10,1.72E-08,
Rab3b,1244.643404,-0.776032147,0.124350651,-6.240676185,4.36E-10,1.73E-08,
Wnt2b,455.4572276,1.133928329,0.181710765,6.240292539,4.37E-10,1.73E-08,
RP24-180B11.5,1283.675015,-0.768228885,0.12314664,-6.238325991,4.42E-10,1.75E-08,
Zfp236,658.0628199,0.953147305,0.152907746,6.233479522,4.56E-10,1.80E-08,
Col16a1,2628.441636,-0.929148425,0.149172041,-6.22870359,4.70E-10,1.84E-08,
Impdh1,1884.689907,-0.958615859,0.153900819,-6.22878985,4.70E-10,1.84E-08,
Rnd2,2052.741871,-0.887458056,0.142487383,-6.22832731,4.71E-10,1.84E-08,
Tmem59,1180.409459,-1.620602433,0.260200221,-6.228289996,4.72E-10,1.84E-08,
Igf2os,153.0299736,1.577120823,0.25336827,6.224618513,4.83E-10,1.88E-08,
Sez6l,324.8184917,-2.147030114,0.34492122,-6.224697093,4.82E-10,1.88E-08,
Stfa3,533.9707576,-1.947785856,0.313042305,-6.22211703,4.90E-10,1.91E-08,
Ptprn,105.366524,2.131463507,0.342651908,6.220492158,4.96E-10,1.92E-08,
Vegfb,2339.704736,-0.907606781,0.145937651,-6.219140689,5.00E-10,1.94E-08,
Crabp1,497.4787868,-1.61635923,0.260083369,-6.214773492,5.14E-10,1.99E-08,
Kif3c,4905.285333,0.862102697,0.138908786,6.206250296,5.43E-10,2.09E-08,
Narf,1870.369413,0.817194344,0.131706912,6.20464281,5.48E-10,2.11E-08,
Crmp1,8600.662517,-0.708881933,0.114351297,-6.199159539,5.68E-10,2.18E-08,
Slc39a7,1400.552644,-1.080035068,0.174299257,-6.196441043,5.78E-10,2.22E-08,
Bola2,1847.067418,-0.95416253,0.154136886,-6.190358176,6.00E-10,2.30E-08,
Pttg1ip,42.24089985,2.445916702,0.395241516,6.188410379,6.08E-10,2.32E-08,
Slc35a4,1036.006191,1.658439381,0.268108648,6.185698936,6.18E-10,2.36E-08,
Clgn,116.9386453,2.075545056,0.335639229,6.183857173,6.26E-10,2.38E-08,
Atg9a,1068.025339,0.872543032,0.14119178,6.179842982,6.42E-10,2.44E-08,
Numb,478.8983771,1.018850573,0.164874199,6.179563429,6.43E-10,2.44E-08,
Tyrobp,368.5090751,-1.280192866,0.207209116,-6.178265166,6.48E-10,2.45E-08,
Emilin1,874.4198673,-1.140886282,0.184740325,-6.175621272,6.59E-10,2.49E-08,
Sec11c,356.6240987,-2.024338073,0.328132216,-6.169275593,6.86E-10,2.59E-08,
Scrg1,99.72374275,-2.256576867,0.365984668,-6.165768853,7.01E-10,2.64E-08,
Tex10,179.9161273,-1.638991553,0.266188183,-6.157266389,7.40E-10,2.78E-08,
Tcf20,1319.595687,0.840281598,0.1365373,6.154227421,7.54E-10,2.83E-08,
Oprd1,110.9465477,1.921343437,0.31247934,6.148705492,7.81E-10,2.92E-08,
Dnajc15,970.808738,-0.856103195,0.139250713,-6.147926848,7.85E-10,2.93E-08,
Cpeb1,1233.006957,0.797048,0.129777156,6.141666403,8.17E-10,3.04E-08,
Iars2,350.4831408,-1.443624832,0.235043165,-6.141956243,8.15E-10,3.04E-08,
Adgrb2,2454.228153,-1.223930863,0.19931776,-6.14060112,8.22E-10,3.05E-08,
Hdac2,219.622024,-2.340882959,0.381392166,-6.137732151,8.37E-10,3.10E-08,
RP23-191F22.11,287.9810438,-1.104502525,0.180272784,-6.126840107,8.96E-10,3.32E-08,
Vps26a,422.1908436,-1.564264753,0.255356135,-6.125816224,9.02E-10,3.33E-08,
Bcat2,404.336224,-1.403983582,0.229478959,-6.118136433,9.47E-10,3.49E-08,
RP23-115O21.3,887.9613765,-0.970023291,0.158544152,-6.118316449,9.46E-10,3.49E-08,
Gm10563,62.33808367,-2.064482067,0.337569735,-6.115720262,9.61E-10,3.53E-08,
Nnt,122.3945149,2.432741941,0.398141738,6.110240918,9.95E-10,3.65E-08,
Gm8186,468.8851885,-1.051911042,0.172185054,-6.109189022,1.00E-09,3.67E-08,
RP24-261H7.9,2261.237663,-0.85806712,0.140469974,-6.108544739,1.01E-09,3.67E-08,
Nab2,415.8871888,1.014213828,0.166140867,6.104541581,1.03E-09,3.76E-08,
Lbx1,139.2001889,-2.474191103,0.405356534,-6.103740525,1.04E-09,3.77E-08,
Hcn2,1947.865837,-0.904333455,0.148253433,-6.09991578,1.06E-09,3.86E-08,
Mapk8ip3,9095.057153,0.741634105,0.12160835,6.098545923,1.07E-09,3.88E-08,
Phrf1,1371.784407,-0.87704232,0.143943823,-6.092948617,1.11E-09,4.01E-08,
Alas2,326.7182238,-1.856602295,0.305168115,-6.083867223,1.17E-09,4.24E-08,
Hoxa4,176.8240613,-1.541807511,0.25370424,-6.077184641,1.22E-09,4.41E-08,
Pantr1,67.96657205,-2.464179997,0.406140957,-6.06730239,1.30E-09,4.69E-08,
Cdc23,1142.250179,0.830749704,0.137178651,6.055969333,1.40E-09,5.02E-08,
Runx3,27.35733786,2.87997762,0.475844523,6.052350042,1.43E-09,5.12E-08,
Cabp7,136.1301392,-1.952570126,0.322665814,-6.05136969,1.44E-09,5.15E-08,
Mfap2,2476.26236,-0.735399157,0.121665787,-6.044420327,1.50E-09,5.36E-08,
Ndufaf3,1010.469721,-0.938949565,0.155377956,-6.043003727,1.51E-09,5.40E-08,
Eif3f,7947.869566,-0.705718344,0.116856526,-6.03918639,1.55E-09,5.52E-08,
Impa1,888.1134768,1.089755186,0.180501335,6.037380197,1.57E-09,5.57E-08,
Ptpn23,95.77741243,-1.956827549,0.324148817,-6.036818419,1.57E-09,5.57E-08,
Tmem91,383.6044828,-1.570004646,0.260062119,-6.037037035,1.57E-09,5.57E-08,
Snrnp70,3405.866077,1.268610039,0.210186064,6.035652473,1.58E-09,5.60E-08,
RP23-356D13.9,111.148027,1.887991047,0.312945714,6.032966623,1.61E-09,5.69E-08,
RP23-286D7.1,103.1031734,-1.920588251,0.318474572,-6.030585858,1.63E-09,5.76E-08,
Gm11027,53.56557768,-2.441019242,0.404867495,-6.029180587,1.65E-09,5.80E-08,
Mup3,36.13725535,-2.571347501,0.426505792,-6.028868893,1.65E-09,5.80E-08,
Zfp277,62.95317821,2.280705705,0.378369383,6.027722667,1.66E-09,5.83E-08,
Eif3m,195.6877948,-2.106008128,0.349764322,-6.021220558,1.73E-09,6.06E-08,
AC126938.1,22.88395383,2.908599784,0.483316744,6.017999213,1.77E-09,6.17E-08,
RP24-323I5.2,32.69113022,2.606500995,0.433164948,6.017340527,1.77E-09,6.19E-08,
Cacng3,200.3462984,-1.275879537,0.212083329,-6.015935076,1.79E-09,6.22E-08,
RP23-131O22.2,82.18112762,-1.895860767,0.315140405,-6.015924136,1.79E-09,6.22E-08,
RP24-252B21.2,178.0505548,1.273787994,0.21185263,6.012613559,1.83E-09,6.34E-08,
Pcdhga3,381.046256,1.911401896,0.317933046,6.011963584,1.83E-09,6.35E-08,
Mark2,346.1554887,1.739304944,0.289663255,6.004575701,1.92E-09,6.64E-08,
Mdga1,1148.1661,1.094535732,0.182375011,6.001566355,1.95E-09,6.75E-08,
Myo1c,383.9338124,1.109482796,0.184913685,6.000003698,1.97E-09,6.80E-08,
Slc7a11,365.8257957,1.830549175,0.305233242,5.997214335,2.01E-09,6.91E-08,
RP23-398F7.15,262.8418061,-1.403059848,0.234094492,-5.993561995,2.05E-09,7.05E-08,
Rims1,555.4327545,1.401449115,0.233838782,5.993227904,2.06E-09,7.06E-08,
RP23-8J15.1,124040.113,-1.079576828,0.180164992,-5.992156516,2.07E-09,7.09E-08,
Pak1,538.9221634,-1.447849612,0.241747813,-5.98909085,2.11E-09,7.21E-08,
